localização;texto;qtd_emojis
;"@RoseBarros__ MALDITO AQUECIMENTO GLOBAL";"0 -> "
mundo da lua;"Tô sentindo o calor entre nós — aquecimento global https://t.co/i6GNnPZFN8";"0 -> "
;"@jessffc Olá, boa tarde! Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes.";"0 -> "
;"Estamos em Julho e ainda há neve na Serra da Estrela, mas o aquecimento global é um mito.";"0 -> "
Brasil;"Segundo esses “seres humanos” a culpa do aquecimento global e da guerra na Síria é do Neymar também!!!! https://t.co/UCnDo8coy6";"0 -> "
;"@raqul_ Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes. Qualquer coisa, nos escreva!";"0 -> "
hogwarts;"ta mt frio cade o aquecimento global";"0 -> "
;"como vcs não acham estranho toda essa publicidade sobre canudos de plástico enquanto o agronegócio e o capitalismo continuam sendo as maiores e principais causas do aquecimento global";"0 -> "
;"mudança climática do nadaaaa";"0 -> "
Holanda (Países Baixos);"Desmatamento em alta pode minar chance de o Brasil cumprir meta contra aquecimento global @estadao: https://t.co/uKfyhXJ8rY";"0 -> "
;"@PretinhoStyle18 Fala, Bolt! Tudo bem contigo queridão?! ?? Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes.";"2 -> kissing_heart   +1   "
Itaboraí, Brasil;"@pcfilho Mas efeito estufa e facilmente comprovado com uma plantação";"0 -> "
Aracaju;"Brasil corre risco de não cumprir meta contra aquecimento global https://t.co/i2GKj8sGoh";"0 -> "
Guarulhos, Sampa City;"Desmatamento em alta pode minar chance de o Brasil cumprir meta contra aquecimento global - Sustentabilidade - Estadão https://t.co/0GfdYtfYpI";"0 -> "
Cabral, Curitiba;"Curitiba é um campo de treinamento pra dar tempo de uma parte da raça humana se adaptar ao aquecimento global";"0 -> "
Paraíba, Brasil;"Mudança climática aqui com essa chuva e friozinho não dá em outra coisa que não seja crise de espirros";"0 -> "
;"@Igortep Aquecimento global chefe..";"0 -> "
help me;"@gongododan_ka Além de anti-higienico é causador do efeito estufa";"0 -> "
São Paulo, Brasil;"aquecimento global — Namjoon, Kim https://t.co/O3r09VuoYe";"0 -> "
Queria estar em casa;"Espero que o aquecimento global seja útil pra alguma coisa e traga neve para o Brasil";"0 -> "
Brasília, Brasil;"Pesquisadores alertam que o desmatamento da Amazônia e do Cerrado pode atrapalhar o país a cumprir as metas contra aquecimento global. Se outros setores tiverem que “pagar a conta”, o custo para a economia pode ser de pelo menos US$ 2 trilhões. https://t.co/Khuf6Gtw8n";"0 -> "
;"@TavinCrvg3 Olá, Tavin! Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes.";"0 -> "
;"@falaellen Olá, Ellen! Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes.";"0 -> "
Brasil - São Paulo - SP;"Desmatamento em alta pode minar chance de o Brasil cumprir meta contra aquecimento global - Sustentabilidade - Estadão https://t.co/foryck59Kq";"0 -> "
Nova Prata, Brasil;""Os cidadãos podem se reunir em suas comunidades para trabalhar na mitigação da mudança climática ou mudar os processos para estabelecer a paz diante de desastres provocados pelo homem" #RSResiliente https://t.co/y1PTWLGt9W";"0 -> "
Vitória da Conquista, Brasil;"pra que esse sol desgraçado em pleno junho gente stop por favor aquecimento global";"0 -> "
Manaus-Amazonas-Brasil;"Emissões de desmatamento podem ser substanciais, como resultado do deslocamento da população e estimulação do desmatamento no entorno das novas barragens e das suas estradas de acesso, como ocorreu, por exemplo, na hidrelétrica de Tucuruí. Leia mais aqui: https://t.co/Au1G8n9rZY";"0 -> "
