localização;texto;qtd_emojis
João Pessoa, Paraíba, Brasil;"Retrocesso ambiental pode custar US$ 5 tri ao Brasil até 2050, diz estudo - https://t.co/oKpBHdepa0 #MeioAmbiente #MudançasClimáticas";"0 -> "
Galicia (España);"‘Barganhas políticas’ ameaçam metas para conter o #AquecimentoGlobal https://t.co/8M1k7E6wEs https://t.co/4604LIsObA";"0 -> "
Brazil;"#MudançasClimáticas - Edição especial da revista Plos Medicine mostra os efeitos reversos do crescente uso de aparelhos de ar-condicionado, com impacto direto no #aquecimentoglobal, na #poluiçãodoar e, consequentemente, na saúde da população: https://t.co/kI5oVOM3iU Via @correio";"0 -> "
Brazil;"https://t.co/3sgk7UnQCZ Pesquisadores brasileiros concluem que Brasil não está cumprindo #AcordoDeParis. Políticas ambientais mais comprometidas com a #bancadaruralista do que com as metas contra o #aquecimentoglobal causam prejuízos climáticos e econômicos (Foto: Ag. Brasil) https://t.co/yd7zZtrm0A";"0 -> "
Brasil;"#Desmatamento em alta pode minar chance de o #Brasil cumprir meta contra #MudançasClimáticas. #Pesquisadores calculam custo de pelo menos US$ 2 trilhões na #economia para País reduzir suas #emissões de #gases de #EfeitoEstufa https://t.co/KlIkzCHRp9 https://t.co/lRAtybaUk2";"0 -> "
Porto Alegre;"O #Desmatamento em alta pode tirar a chance de o Brasil cumprir #Meta contra o aquecimento global https://t.co/QXSIQB70c9 #AquecimentoGlobal #Sustentabilidade https://t.co/aHQRXsufkj";"0 -> "
;"Saiba mais sobre Crédito de Carbono https://t.co/69oblyokQn #efeitoestufa #meioambiente #creditodecarbono #preservação #sustentabilidade #floresta #árvore #credito #carbono #engenharia #química #engenhariaquímica #veja #olhe #leia #engquimicasantossp #curta #compartilhe #amigos";"0 -> "
Brasil;"Normalmente estamos em época de chuvas fortes na Ásia, mas os dados atuais quanto ao #clima, lá, são impressionantes! Gravíssimas #tempestades e tufões anunciam muita tragédia a caminho! #mudançasclimáticas #CambioClimatico";"0 -> "
Brasil;"As cinco ameaças do clima para a saúde das crianças: https://t.co/cqgwXYk7T1 #mortalidadeinfantil #saúdeinfantil #mudançasclimáticas https://t.co/P4PCpQair7";"0 -> "
Rio de Janeiro - RJ - Brasil;"Estudo sugere que a conversão de #florestas em terras agrícolas acelera as #mudançasclimáticas https://t.co/F46mkHvI0t";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Biodiversidade otimiza processos ecológicos que contribuem para reduzir efeitos das #mudançasclimáticas https://t.co/d4oq9llhxU";"0 -> "
Rio de Janeiro, Brasil;"Como as mudanças climáticas podem impactar o Rio de Janeiro? Leia no post https://t.co/Pvs6OgyU9w #mudançasclimáticas #climatechange #sustentabilidade";"0 -> "
Limón, USA;"Pq tá aparecendo um monte de gente q eu n conheço e qn sigo? #cidadelimpa #aquecimentoglobal";"0 -> "
Pontal do Paraná;"Enchentes e deslizamentos deixam dezenas de mortos no Japão Tempestade que atinge a região de Hiroshima obrigou a retirada de 2 milhões de pessoas #mudançasclimaticas... https://t.co/xzn5y3i53T";"0 -> "
Brasil;"Enchentes e deslizamentos deixam dezenas de mortos no Japão Tempestade que atinge a região de Hiroshima obrigou a retirada de 2 milhões de pessoas #mudançasclimaticas... https://t.co/ccVQpyQ0T8";"0 -> "
Brasília, Brasil;"#ClimateChange ?? #MudancasClimaticas ?? #Clima #Climate ??? https://t.co/oqaC7M3Err";"4 -> white_sun_behind_cloud_rain   cloud_lightning   earth_americas   thermometer   "
Brasil;"#MudançaClimática pode intensificar “rios voadores”, indica estudo da #Nasa - Panorama Eco https://t.co/wNgyrKqxUr #PanoramaEco via @MundoMSOficial";"0 -> "
Brasília, Brasil;"O inverno de 2018 já começou! Como será esse ano? Confira! #MudançaClimática #Saúde #Tempo https://t.co/jVLmY0ws41";"0 -> "
Brasil;"Clássicos da Vivienne Westwood na #Burberry? Sim! https://t.co/A1OdKVmmAk via @LilianPacce. #moda #modainglesa #RiccardoTisci #VivienneWestwood #AndreasKronthaler #fashion #tendencia #AndreasKronthalerforVivienneWestwood #aquecimentoglobal #CoolEarth #desmatamento https://t.co/e4QFhzJZr0";"0 -> "
São José dos Campos, São Paulo, Brasil;"@mctic contrata p/ Estudos de Impactos, Vulnerabilidade e Adaptação às #MudançasClimáticas #segurançaalimentar ???? Projeto PNUD BRA/16/G31 @PNUDBrasil com financiamento do @theGEF em https://t.co/O8bK9HoBfb + processos seletivos em https://t.co/KtAk2yQmLs";"3 -> earth_americas   ear_of_rice   corn   "
São Paulo, BRASIL;"Corrupção derruba assessor de Trump que determinou a Saída dos Estados Unidos do Acordo do Clima de Paris.Sucessor defende Indústria do Carvão.https://t.co/qLHCyuFZE8 #EnergiaLimpa #Energia #CombustíveisFósseis #EmissõesDeCarbono #ParqueAugusta #MudançasClimáticas #Mundo #Àgua https://t.co/DhSfn2NdTb";"0 -> "
Brasil;"23 países se comprometem a fazer mais pelo clima: https://t.co/4grZYbP1Nq #aquecimentoglobal #clima https://t.co/PP3yRPqvaD";"0 -> "
Brazil;"#MudançasClimáticas - "Professor da USP crítica postura do país e explica que, além da construção de grandes obras, apoio à #bancadaruralista também se sobressai como vetor de devastação": https://t.co/Y0Eo0Zp4MU";"0 -> "
;""O Amor é uma flor roxa (...)" #MudançasClimáticas #PrimaveraNoInverno #SemFiltro #HashTagFever";"0 -> "
Rio de Janeiro, Brasil;"Palestra de abertura do SEMENGE 2018 ?????????? #sustentaí #sustentabilidade #inovação #empreendedorismo #mudançasclimaticas #energialimpa #energiarenovavel #climatechange #globalwarming… https://t.co/9X0c5YoEgh";"1 -> heart   "
